import time: self [us] | cumulative | imported package
import time:       308 |        367 |                                 asyncio.locks
import time:       151 |        151 |                                   asyncio.queues
import time:       380 |        380 |                                   asyncio.timeouts
import time:       341 |        871 |                                 asyncio.tasks
import time:       302 |       1539 |                               asyncio.staggered
import time:       173 |        173 |                               asyncio.trsock
import time:      2364 |       7702 |                             asyncio.base_events
import time:       189 |        189 |                             asyncio.runners
import time:       286 |        286 |                             asyncio.streams
import time:       136 |        136 |                             asyncio.subprocess
import time:       112 |        112 |                             asyncio.taskgroups
import time:        56 |         56 |                             asyncio.threads
import time:       256 |        256 |                               asyncio.base_subprocess
import time:       406 |        406 |                               asyncio.selector_events
import time:      1631 |       2293 |                             asyncio.unix_events
import time:       246 |      11017 |                           asyncio
import time:       389 |        389 |                                 _sqlite3
import time:       350 |        739 |                               sqlite3.dbapi2
import time:       110 |        848 |                             sqlite3
import time:       171 |       1019 |                           filelock._read_write
import time:       293 |      12328 |                         filelock._async_read_write
import time:        54 |         54 |                           filelock._util
import time:       143 |        197 |                         filelock._soft
import time:        95 |         95 |                         filelock._unix
import time:        87 |         87 |                         filelock._windows
import time:       559 |        559 |                         filelock.asyncio
import time:        68 |         68 |                         filelock.version
import time:       261 |      14253 |                       filelock
import time:       115 |      14367 |                     jax._src.lru_cache
import time:       220 |      14888 |                   jax._src.compilation_cache
import time:       265 |      15370 |                 jax._src.compiler
import time:       586 |        586 |                   jax._src.interpreters.ad
import time:       921 |        921 |                   jax._src.interpreters.batching
import time:       171 |        171 |                   jax._src.interpreters.remat
import time:      2369 |       4045 |                 jax._src.pjit
import time:       226 |        226 |                 jax._src.abstract_arrays
import time:      3763 |      23402 |               jax._src.interpreters.pxla
import time:       644 |      24045 |             jax._src.array
import time:      1173 |      25218 |           jax._src.dispatch
import time:      2747 |      51303 |         jax._src.api
import time:        69 |         69 |             jax._src.custom_api_util
import time:       171 |        171 |             jax._src.custom_transpose
import time:       745 |        983 |           jax._src.custom_derivatives
import time:      1245 |       1245 |           jax._src.hijax
import time:       166 |        166 |               jax._src.custom_partitioning_sharding_rule
import time:       496 |        496 |               jax._src.ffi
import time:       145 |        145 |                       jax._src.lax.utils
import time:       298 |        298 |                         jax._src.indexing
import time:       520 |        817 |                       jax._src.state.indexing
import time:       911 |       1873 |                     jax._src.lax.slicing
import time:      1435 |       1435 |                     jaxlib.mlir.dialects._chlo_ops_gen
import time:       207 |        207 |                     jaxlib.mlir._mlir_libs._chlo
import time:      3548 |       7061 |                   jax._src.lax.lax
import time:       388 |        388 |                     jax._src.lax.convolution
import time:       122 |        122 |                     jax._src.lax.other
import time:       541 |       1050 |                   jax._src.lax.windowed_reductions
import time:       188 |        188 |                   jax._src.lax.control_flow.common
import time:       272 |        272 |                     jax._src.state.primitives
import time:       100 |        100 |                     jax._src.state.utils
import time:       649 |       1020 |                   jax._src.state.discharge
import time:       845 |      10162 |                 jax._src.lax.control_flow.loops
import time:       418 |        418 |                 jax._src.lax.control_flow.conditionals
import time:       363 |        363 |                 jax._src.lax.control_flow.solves
import time:       148 |      11090 |               jax._src.lax.control_flow
import time:      1375 |      13126 |             jax._src.lax.linalg
import time:       403 |        403 |             jax._src.lax.special
import time:       332 |        332 |             jax._src.lax.fft
import time:      2291 |       2291 |             jax._src.lax.parallel
import time:       279 |        279 |                     jax._src.numpy.util
import time:        80 |         80 |                           importlib.metadata._text
import time:       194 |        274 |                         importlib.metadata._adapters
import time:     30113 |      30386 |                       jax._src.numpy.array_constructors
import time:       920 |        920 |                               jax._src.shard_map
import time:       164 |        164 |                               jax._src.export
import time:       280 |        280 |                                       opt_einsum.typing
import time:       134 |        413 |                                     opt_einsum.blas
import time:       101 |        101 |                                     opt_einsum.helpers
import time:       476 |        476 |                                         _decimal
import time:        91 |        566 |                                       decimal
import time:       573 |        573 |                                       opt_einsum.paths
import time:       210 |       1348 |                                     opt_einsum.path_random
import time:        63 |         63 |                                     opt_einsum._version
import time:       150 |        150 |                                             opt_einsum.parser
import time:       174 |        324 |                                           opt_einsum.sharing
import time:        82 |        405 |                                         opt_einsum.backends.cupy
import time:        48 |         48 |                                           opt_einsum.backends.jax
import time:        56 |         56 |                                           opt_einsum.backends.object_arrays
import time:        59 |         59 |                                           opt_einsum.backends.tensorflow
import time:        53 |         53 |                                           opt_einsum.backends.theano
import time:        61 |         61 |                                           opt_einsum.backends.torch
import time:       237 |        512 |                                         opt_einsum.backends.dispatch
import time:        89 |       1005 |                                       opt_einsum.backends
import time:       356 |       1360 |                                     opt_einsum.contract
import time:       208 |       3491 |                                   opt_einsum
import time:      1994 |       5485 |                                 jax._src.export.shape_poly
import time:      1413 |       6898 |                               jax._src.export._export
import time:       660 |       8641 |                             jax._src.error_check
import time:      5276 |       5276 |                             jax._src.numpy.reductions
import time:       238 |      14154 |                           jax._src.numpy.error
import time:       340 |        340 |                               jax._src.numpy.einsum
import time:      1615 |       1955 |                             jax._src.numpy.indexing
import time:       173 |        173 |                             jax._src.numpy.vectorize
import time:       810 |       2937 |                           jax._src.numpy.ufunc_api
import time:      2956 |      20046 |                         jax._src.numpy.ufuncs
import time:       405 |      20450 |                       jax._src.numpy.array_creation
import time:       327 |        327 |                       jax._src.numpy.hijax
import time:       372 |        372 |                       jax._src.numpy.tensor_contractions
import time:       348 |        348 |                       jax._src.numpy.sorting
import time:      3435 |      55316 |                     jax._src.numpy.lax_numpy
import time:       268 |      55862 |                   jax._src.numpy.fft
import time:      1324 |       1324 |                   jax._src.numpy.linalg
import time:       250 |        250 |                   jax._src.numpy.scalar_types
import time:       203 |        203 |                   jax._src.numpy.index_tricks
import time:       442 |        442 |                   jax._src.numpy.polynomial
import time:       783 |        783 |                   jax._src.numpy.setops
import time:       285 |      59147 |                 jax._src.numpy
import time:        18 |      59165 |               jax._src.numpy.indexing
import time:       158 |      59322 |             jax._src.lax.ann
import time:       152 |        152 |             jax._src.lax.scaled_dot
import time:       361 |      75984 |           jax._src.lax
import time:       474 |      78685 |         jax._src.ad_checkpoint
import time:        36 |         36 |             cloudpickle
import time:        98 |        133 |           jax._src.pickle_util
import time:       668 |        801 |         jax._src.callback
import time:        53 |         53 |           jax._src.ref
import time:        99 |        151 |         jax.ref
import time:        76 |         76 |         jax.interpreters
import time:       118 |        118 |         jax.interpreters.ad
import time:        94 |         94 |         jax.interpreters.batching
import time:        88 |         88 |         jax.interpreters.mlir
import time:        84 |         84 |         jax.interpreters.partial_eval
import time:        81 |         81 |         jax.interpreters.pxla
import time:        55 |         55 |         jax.interpreters.xla
import time:        51 |         51 |         jax.custom_derivatives
import time:       184 |        184 |           jax._src.custom_batching
import time:        64 |        248 |         jax.custom_batching
import time:        59 |         59 |         jax.custom_transpose
import time:        71 |         71 |         jax.api_util
import time:        57 |         57 |         jax.distributed
import time:       298 |        298 |           jax._src.debugging
import time:       651 |        651 |             jax._src.debugger.core
import time:       192 |        192 |               cmd
import time:       545 |        736 |             jax._src.debugger.cli_debugger
import time:       209 |        209 |                 _uuid
import time:       565 |        774 |               uuid
import time:       566 |        566 |               jax._src.debugger.colab_lib
import time:        97 |         97 |               pygments
import time:       824 |        824 |                 pygments.lexers._mapping
import time:       257 |        257 |                 pygments.modeline
import time:        76 |         76 |                 pygments.plugin
import time:       347 |        347 |                 pygments.util
import time:       250 |       1753 |               pygments.lexers
import time:        87 |         87 |                 pygments.formatters._mapping
import time:       129 |        216 |               pygments.formatters
import time:       253 |       3656 |             jax._src.debugger.colab_debugger
import time:       147 |        147 |             jax._src.debugger.web_debugger
import time:       195 |       5384 |           jax._src.debugger
import time:        74 |       5755 |         jax.debug
import time:       114 |        114 |           jax._src.dlpack
import time:        65 |        178 |         jax.dlpack
import time:        49 |         49 |         jax.dtypes
import time:        40 |         40 |         jax.errors
import time:       157 |        157 |           jax._src.export.shape_poly_decision
import time:        98 |        255 |         jax.export
import time:        50 |         50 |         jax.ffi
import time:        38 |         38 |             jax._src.image
import time:       336 |        373 |           jax._src.image.scale
import time:        73 |        446 |         jax.image
import time:        43 |         43 |                 jax._src.tpu
import time:       160 |        160 |                   jax._src.tpu.linalg.qdwh
import time:       216 |        216 |                   jax._src.tpu.linalg.stack
import time:       409 |        784 |                 jax._src.tpu.linalg.eigh
import time:       243 |        243 |                 jax._src.tpu.linalg.svd
import time:       170 |       1238 |               jax._src.tpu.linalg
import time:        31 |       1269 |             jax._src.tpu.linalg.qdwh
import time:        72 |       1340 |           jax.lax.linalg
import time:       215 |       1555 |         jax.lax
import time:        65 |         65 |         jax.monitoring
import time:        67 |         67 |             jax.numpy.fft
import time:        47 |         47 |             jax.numpy.linalg
import time:        64 |         64 |             jax._src.numpy.window_functions
import time:        81 |         81 |             jax._src.numpy.array_api_metadata
import time:        60 |         60 |               jax._src.ops
import time:       107 |        107 |               jax._src.ops.scatter
import time:      1853 |       2019 |             jax._src.numpy.array_methods
import time:       641 |       2917 |           jax.numpy
import time:        52 |         52 |               jax._src.nn
import time:        39 |         39 |                     flatbuffers
import time:       263 |        302 |                   jax._src.export.serialization
import time:      1049 |       1350 |                 jax._src.prng
import time:      1724 |       3074 |               jax._src.random
import time:       311 |       3436 |             jax._src.nn.initializers
import time:       122 |       3557 |           jax.nn.initializers
import time:        89 |         89 |                 jax._src.cudnn.fusion
import time:       107 |        196 |               jax._src.cudnn
import time:       191 |        191 |               jax._src.custom_partitioning
import time:       597 |        983 |             jax._src.cudnn.fused_attention_stablehlo
import time:       937 |        937 |             jax._src.cudnn.scaled_matmul_stablehlo
import time:       116 |        116 |             jax._src.ops.special
import time:      1271 |       3306 |           jax._src.nn.functions
import time:       151 |       9929 |         jax.nn
import time:        80 |         80 |         jax.ops
import time:        53 |         53 |         jax.profiler
import time:        64 |         64 |         jax.random
import time:        90 |         90 |         jax.scipy
import time:        60 |         60 |         jax.sharding
import time:        44 |         44 |         jax.memory
import time:        42 |         42 |         jax.stages
import time:        51 |         51 |         jax.tree_util
import time:       101 |        101 |               jax._src.earray
import time:        80 |        180 |             jax.experimental
import time:        93 |        273 |           jax.experimental.compilation_cache
import time:        74 |        347 |         jax.experimental.compilation_cache.compilation_cache
import time:        51 |         51 |         jax.lib
import time:      1349 |     212684 |       jax
import time:        48 |         48 |         jaxlib.triton
import time:       177 |        177 |           jaxlib.mlir._mlir_libs._triton_ext
import time:       726 |        726 |           jaxlib.triton._triton_enum_gen
import time:      2184 |       2184 |           jaxlib.triton._triton_ops_gen
import time:       217 |       3303 |         jaxlib.triton.dialect
import time:       158 |       3508 |       jax._src.lib.triton
import time:      5440 |       5440 |       jaxlib.mlir.dialects._mhlo_ops_gen
import time:       464 |        464 |       jaxlib.mlir._mlir_libs._mlirHlo
import time:       180 |        180 |         jaxlib.mlir.dialects._builtin_ops_gen
import time:        45 |         45 |           jaxlib.mlir.extras
import time:       105 |        149 |         jaxlib.mlir.extras.meta
import time:       254 |        582 |       jaxlib.mlir.dialects.builtin
import time:       127 |        127 |           jax._src.flatten_util
import time:       103 |        229 |         jax.flatten_util
import time:       422 |        651 |       jax.experimental.ode
import time:        51 |         51 |           jax._src.scipy
import time:       166 |        217 |         jax._src.scipy.fft
import time:       129 |        345 |       jax.scipy.fft
import time:      1678 |       1678 |         jax._src.scipy.linalg
import time:        75 |         75 |             jax._src.third_party
import time:        89 |        164 |           jax._src.third_party.scipy
import time:       172 |        335 |         jax._src.third_party.scipy.linalg
import time:       148 |       2161 |       jax.scipy.linalg
import time:        71 |         71 |           jax._src.third_party.scipy.betaln
import time:      1228 |       1298 |         jax._src.scipy.special
import time:       261 |        261 |         jax._src.third_party.scipy.special
import time:       182 |       1740 |       jax.scipy.special
import time:    148489 |     384829 |     desc.backend
import time:       360 |     623989 |   desc.utils
import time:        98 |         98 |     desc.compute.data_index
import time:      3504 |       3602 |   desc.compute._basis_vectors
import time:      2610 |       2610 |       scipy.constants._codata
import time:       513 |        513 |       scipy.constants._constants
import time:        76 |         76 |       scipy.constants.codata
import time:        81 |         81 |       scipy.constants.constants
import time:       534 |       3813 |     scipy.constants
import time:        55 |         55 |             interpax._version
import time:        64 |         64 |                         jax.extend.backend
import time:       146 |        146 |                           jax.extend.core.primitives
import time:        78 |        223 |                         jax.extend.core
import time:        72 |         72 |                         jax.extend.linear_util
import time:        59 |         59 |                         jax.extend.mlir
import time:        45 |         45 |                             jax._src.extend
import time:        85 |        130 |                           jax._src.extend.random
import time:        61 |        190 |                         jax.extend.random
import time:        53 |         53 |                         jax.extend.sharding
import time:        66 |         66 |                         jax.extend.source_info_util
import time:       190 |        914 |                       jax.extend
import time:         8 |        922 |                     jax.extend.core
import time:        66 |         66 |                           jaxtyping._errors
import time:        76 |         76 |                           jaxtyping._storage
import time:      2066 |       2207 |                         jaxtyping._array_types
import time:       109 |        109 |                         jaxtyping._config
import time:       263 |        263 |                         jaxtyping._decorator
import time:      1146 |       1146 |                           unittest.mock
import time:       222 |       1368 |                         jaxtyping._import_hook
import time:        78 |         78 |                         jaxtyping._ipython_extension
import time:       675 |       4698 |                       jaxtyping
import time:       134 |        134 |                           wadler_lindig._ansi
import time:      1190 |       1190 |                             wadler_lindig._wadler_lindig
import time:       216 |       1405 |                           wadler_lindig._definitions
import time:       665 |       2203 |                         wadler_lindig
import time:       206 |       2408 |                       jaxtyping._pytree_type
import time:       323 |       7428 |                     equinox._filters
import time:       119 |       8468 |                   equinox.debug._announce_transform
import time:      1207 |       1207 |                       typing_extensions
import time:        67 |         67 |                         equinox._doc_utils
import time:        92 |        158 |                       equinox._custom_types
import time:        46 |         46 |                       equinox._deprecate
import time:        38 |         38 |                         equinox._caches
import time:       133 |        133 |                           equinox._module._better_abstract
import time:        50 |         50 |                           equinox._module._field
import time:       493 |        493 |                             equinox._pretty_print
import time:       334 |        334 |                             equinox._tree
import time:       124 |        124 |                             equinox._module._flatten
import time:       396 |        396 |                             jax._src.pmap
import time:      1263 |       1263 |                             equinox._module._prebuilt
import time:      1069 |       3677 |                           equinox._module._module
import time:        92 |       3951 |                         equinox._module
import time:       185 |       4172 |                       equinox._eval_shape
import time:       598 |        598 |                       equinox._make_jaxpr
import time:      4187 |      10365 |                     equinox._ad
import time:      1092 |       1092 |                         equinox._compile_utils
import time:       857 |       1949 |                       equinox._jit
import time:        85 |         85 |                       equinox._config
import time:        60 |         60 |                       equinox._misc
import time:       264 |        264 |                       equinox._unvmap
import time:       627 |       2982 |                     equinox._errors
import time:       581 |      13928 |                   equinox.debug._backward_nan
import time:        92 |         92 |                   equinox.debug._breakpoint_if
import time:        73 |         73 |                   equinox.debug._dce
import time:       567 |        567 |                   equinox.debug._max_traces
import time:       174 |      23300 |                 equinox.debug
import time:       726 |        726 |                   equinox._enum
import time:       625 |        625 |                   equinox.internal._closure_to_pytree
import time:       105 |        105 |                         equinox.internal._nontraceable
import time:       189 |        189 |                         equinox.internal._primitive
import time:      2467 |       2760 |                       equinox.internal._loop.common
import time:        97 |         97 |                         equinox.internal._loop.bounded
import time:       218 |        218 |                         equinox.internal._loop.checkpointed
import time:       254 |        567 |                       equinox.internal._loop.loop
import time:       110 |       3436 |                     equinox.internal._loop
import time:      1962 |       1962 |                       equinox._vmap_pmap
import time:      1491 |       3452 |                     equinox.internal._noinline
import time:       202 |       7089 |                   equinox.internal._finalise_jaxpr
import time:       410 |        410 |                   equinox.internal._getkey
import time:       130 |        130 |                   equinox.internal._misc
import time:        99 |         99 |                   equinox.internal._nextafter
import time:       172 |        172 |                   equinox.internal._omega
import time:        72 |         72 |                   equinox.internal._onnx
import time:        47 |         47 |                   equinox.internal._str2jax
import time:       318 |       9684 |                 equinox.internal
import time:        60 |         60 |                     equinox.nn._misc
import time:       504 |        563 |                   equinox.nn._activations
import time:       497 |        497 |                     equinox.nn._dropout
import time:       864 |        864 |                     equinox.nn._linear
import time:      1093 |       2454 |                   equinox.nn._attention
import time:       877 |        877 |                       equinox.nn._stateful
import time:      1039 |       1916 |                     equinox.nn._sequential
import time:      1015 |       2931 |                   equinox.nn._batch_norm
import time:      5069 |       5069 |                   equinox.nn._conv
import time:      1112 |       1112 |                   equinox.nn._embedding
import time:        87 |         87 |                   equinox.nn._inference
import time:       820 |        820 |                   equinox.nn._mlp
import time:      1523 |       1523 |                   equinox.nn._normalisation
import time:      5532 |       5532 |                   equinox.nn._pool
import time:      1090 |       1090 |                   equinox.nn._rnn
import time:       513 |        513 |                   equinox.nn._shared
import time:       686 |        686 |                   equinox.nn._spectral_norm
import time:       621 |        621 |                   equinox.nn._weight_norm
import time:       495 |      23490 |                 equinox.nn
import time:        83 |         83 |                 equinox._callback
import time:       281 |        281 |                 equinox._serialisation
import time:        85 |         85 |                 equinox._sharding
import time:        55 |         55 |                 equinox._update
import time:       828 |      57803 |               equinox
import time:       783 |        783 |                   lineax._misc
import time:       130 |        130 |                   lineax._norm
import time:        52 |         52 |                     lineax._custom_types
import time:        78 |         78 |                       lineax._tags
import time:     11388 |      11466 |                     lineax._operator
import time:       834 |        834 |                     lineax._solution
import time:      4694 |      17045 |                   lineax._solve
import time:       118 |        118 |                         lineax._solver.misc
import time:       838 |        955 |                       lineax._solver.bicgstab
import time:       517 |        517 |                         lineax._solver.normal
import time:       749 |       1265 |                       lineax._solver.cg
import time:       476 |        476 |                       lineax._solver.cholesky
import time:       634 |        634 |                       lineax._solver.diagonal
import time:       562 |        562 |                         lineax._solver.qr
import time:      1162 |       1724 |                       lineax._solver.gmres
import time:       705 |        705 |                       lineax._solver.lsmr
import time:       605 |        605 |                       lineax._solver.lu
import time:       509 |        509 |                       lineax._solver.svd
import time:       473 |        473 |                       lineax._solver.triangular
import time:       420 |        420 |                       lineax._solver.tridiagonal
import time:       467 |       8229 |                     lineax._solver
import time:        53 |       8281 |                   lineax._solver.misc
import time:       385 |      26621 |                 lineax.internal
import time:       938 |      27559 |               lineax
import time:      2008 |       2008 |               interpax.utils
import time:       895 |      88264 |             interpax._fd_derivs
import time:       565 |        565 |             interpax._fourier
import time:       208 |        208 |               interpax._coefs
import time:      3094 |       3301 |             interpax._ppoly
import time:      3935 |       3935 |             interpax._spline
import time:       260 |      96378 |           interpax
import time:        74 |         74 |             interpax_fft._version
import time:       164 |        164 |               interpax_fft._utils_private
import time:       645 |        808 |             interpax_fft._fft
import time:       102 |        102 |               interpax_fft._utils_public
import time:       146 |        247 |             interpax_fft._mmt
import time:        61 |         61 |                   orthax._version
import time:       379 |        379 |                     orthax.polyutils
import time:     14707 |      15085 |                   orthax.chebyshev
import time:      7515 |       7515 |                   orthax.hermite
import time:      1241 |       1241 |                   orthax.hermite_e
import time:      1296 |       1296 |                   orthax.laguerre
import time:      1113 |       1113 |                   orthax.legendre
import time:      1172 |       1172 |                   orthax.polynomial
import time:      5841 |       5841 |                   orthax.recurrence
import time:      1149 |       1149 |                   orthax._general
import time:       543 |      35011 |                 orthax
import time:        15 |      35026 |               orthax.chebyshev
import time:       190 |        190 |                   matplotlib._api.deprecation
import time:       287 |        477 |                 matplotlib._api
import time:        65 |         65 |                 matplotlib._version
import time:       193 |        193 |                   shlex
import time:       412 |        412 |                   matplotlib._c_internal_utils
import time:       766 |       1370 |                 matplotlib.cbook
import time:       131 |        131 |                 matplotlib._docstring
import time:       213 |        213 |                     matplotlib.backends.registry
import time:        96 |        308 |                   matplotlib.backends
import time:       124 |        124 |                       PIL._version
import time:       216 |        340 |                     PIL
import time:      1921 |       1921 |                       PIL.ExifTags
import time:       268 |        268 |                       PIL.ImageMode
import time:       492 |        492 |                       PIL.TiffTags
import time:        89 |         89 |                       PIL._binary
import time:        85 |         85 |                       PIL._deprecate
import time:       111 |        111 |                       PIL._util
import time:        63 |         63 |                               xml
import time:       104 |        167 |                             xml.parsers
import time:       337 |        337 |                             pyexpat
import time:       115 |        618 |                           xml.parsers.expat
import time:       154 |        772 |                         defusedxml.common
import time:       141 |        912 |                       defusedxml
import time:        49 |         49 |                           xml.etree
import time:       719 |        719 |                           xml.etree.ElementPath
import time:       193 |        193 |                           _elementtree
import time:       799 |       1758 |                         xml.etree.ElementTree
import time:         4 |          4 |                         _elementtree
import time:       918 |       2679 |                       defusedxml.ElementTree
import time:       818 |        818 |                       PIL._imaging
import time:      1801 |       9171 |                     PIL.Image
import time:      1083 |       1083 |                       fractions
import time:       114 |        114 |                       PIL.ImageChops
import time:       462 |        462 |                       PIL.ImageFile
import time:        85 |         85 |                         PIL.GimpGradientFile
import time:        69 |         69 |                         PIL.GimpPaletteFile
import time:       125 |        125 |                         PIL.ImageColor
import time:        72 |         72 |                         PIL.PaletteFile
import time:       220 |        569 |                       PIL.ImagePalette
import time:        99 |         99 |                       PIL.ImageSequence
import time:      1034 |       3358 |                     PIL.PngImagePlugin
import time:       341 |        341 |                     matplotlib._cm
import time:       305 |        305 |                           matplotlib._path
import time:       337 |        337 |                             matplotlib.bezier
import time:       322 |        659 |                           matplotlib.path
import time:      2775 |       3738 |                         matplotlib.transforms
import time:       823 |       4561 |                       matplotlib.ticker
import time:       624 |       5184 |                     matplotlib.scale
import time:       383 |        383 |                     matplotlib._image
import time:       539 |        539 |                     matplotlib._color_data
import time:      1255 |      20566 |                   matplotlib.colors
import time:       125 |        125 |                       pyparsing.warnings
import time:       306 |        306 |                       pyparsing.util
import time:       409 |        409 |                         pyparsing.unicode
import time:      1133 |       1541 |                       pyparsing.exceptions
import time:       242 |        242 |                         pyparsing.results
import time:       261 |        502 |                       pyparsing.actions
import time:      5277 |       5277 |                       pyparsing.core
import time:      1719 |       1719 |                       pyparsing.helpers
import time:       212 |        212 |                       pyparsing.testing
import time:      2256 |       2256 |                       pyparsing.common
import time:       664 |      12598 |                     pyparsing
import time:       255 |      12853 |                   matplotlib._fontconfig_pattern
import time:       267 |        267 |                   matplotlib._enums
import time:       256 |        256 |                   cycler
import time:       677 |      34925 |                 matplotlib.rcsetup
import time:      1000 |       1000 |                 matplotlib.ft2font
import time:        76 |         76 |                 dateutil._version
import time:       288 |        288 |                   kiwisolver.exceptions
import time:       246 |        534 |                 kiwisolver._cext
import time:      1496 |       1496 |                     matplotlib.artist
import time:       681 |       2176 |                   matplotlib.colorizer
import time:      1070 |       1070 |                   matplotlib._cm_listed
import time:       435 |        435 |                   matplotlib._cm_multivar
import time:       598 |        598 |                   matplotlib._cm_bivar
import time:      2035 |       6312 |                 matplotlib.cm
import time:      3752 |      48637 |               matplotlib
import time:       100 |        100 |                       matplotlib._pylab_helpers
import time:       584 |        683 |                     matplotlib.backend_tools
import time:       728 |        728 |                         plistlib
import time:       497 |        497 |                           matplotlib._mathtext_data
import time:       364 |        861 |                         matplotlib._afm
import time:      1483 |       3071 |                       matplotlib.font_manager
import time:      1442 |       1442 |                         matplotlib.hatch
import time:       384 |        384 |                           matplotlib.markers
import time:      3994 |       4377 |                         matplotlib.lines
import time:     34059 |      39877 |                       matplotlib.patches
import time:       696 |        696 |                         matplotlib._text_helpers
import time:       722 |        722 |                         matplotlib.dviread
import time:      1824 |       1824 |                           matplotlib._mathtext
import time:       189 |       2013 |                         matplotlib.mathtext
import time:       198 |        198 |                         matplotlib.texmanager
import time:       352 |       3979 |                       matplotlib.textpath
import time:      2720 |      49645 |                     matplotlib.text
import time:        94 |         94 |                     matplotlib._tight_bbox
import time:      8627 |       8627 |                       matplotlib.collections
import time:      1218 |       9845 |                     matplotlib.widgets
import time:       173 |        173 |                     matplotlib.backend_managers
import time:       129 |        129 |                         matplotlib._layoutgrid
import time:       204 |        333 |                       matplotlib._constrained_layout
import time:        91 |         91 |                       matplotlib._tight_layout
import time:       184 |        607 |                     matplotlib.layout_engine
import time:      1372 |      62417 |                   matplotlib.backend_bases
import time:      2643 |      65060 |                 matplotlib.image
import time:      4181 |       4181 |                   matplotlib.style.core
import time:       113 |       4294 |                 matplotlib.style
import time:        67 |         67 |                   matplotlib._blocking_input
import time:      3509 |       3509 |                         matplotlib.offsetbox
import time:       284 |        284 |                           matplotlib.units
import time:      4627 |       4910 |                         matplotlib.axis
import time:       382 |        382 |                         matplotlib.gridspec
import time:       873 |        873 |                         matplotlib.spines
import time:      1388 |       1388 |                         matplotlib.table
import time:      3138 |      14197 |                       matplotlib.axes._base
import time:       692 |        692 |                               calendar
import time:       534 |        534 |                               six
import time:       103 |        103 |                               dateutil._common
import time:        27 |         27 |                                 six.moves
import time:       147 |        147 |                                 dateutil.tz._common
import time:       113 |        113 |                                 dateutil.tz._factories
import time:        14 |         14 |                                   six.moves.winreg
import time:       134 |        147 |                                 dateutil.tz.win
import time:       573 |       1005 |                               dateutil.tz.tz
import time:      1198 |       3531 |                             dateutil.parser._parser
import time:       274 |        274 |                             dateutil.parser.isoparser
import time:       165 |       3968 |                           dateutil.parser
import time:       163 |       4131 |                         matplotlib.category
import time:      1523 |       1523 |                         matplotlib.contour
import time:       360 |        360 |                           dateutil.rrule
import time:       625 |        985 |                         matplotlib.dates
import time:       606 |        606 |                         matplotlib.inset
import time:       124 |        124 |                           matplotlib.container
import time:       293 |        293 |                           matplotlib.legend_handler
import time:      1125 |       1541 |                         matplotlib.legend
import time:       380 |        380 |                         matplotlib.mlab
import time:      2330 |       2330 |                         matplotlib.quiver
import time:        88 |         88 |                         matplotlib.stackplot
import time:       198 |        198 |                         matplotlib.streamplot
import time:       136 |        136 |                           matplotlib.tri._triangulation
import time:       741 |        741 |                           matplotlib.tri._tricontour
import time:       112 |        112 |                           matplotlib.tri._trifinder
import time:        99 |         99 |                             matplotlib.tri._tritools
import time:       453 |        551 |                           matplotlib.tri._triinterpolate
import time:       503 |        503 |                           matplotlib.tri._tripcolor
import time:        70 |         70 |                           matplotlib.tri._triplot
import time:        96 |         96 |                           matplotlib.tri._trirefine
import time:       254 |       2461 |                         matplotlib.tri
import time:       988 |        988 |                         matplotlib.axes._secondary_axes
import time:      7210 |      22435 |                       matplotlib.axes._axes
import time:       266 |      36896 |                     matplotlib.axes
import time:      3920 |       3920 |                     matplotlib.projections.geo
import time:      3371 |       3371 |                     matplotlib.projections.polar
import time:        66 |         66 |                       mpl_toolkits
import time:        91 |         91 |                           mpl_toolkits.mplot3d.proj3d
import time:      6897 |       6988 |                         mpl_toolkits.mplot3d.art3d
import time:      2150 |       2150 |                         mpl_toolkits.mplot3d.axis3d
import time:      3559 |      12696 |                       mpl_toolkits.mplot3d.axes3d
import time:       157 |      12918 |                     mpl_toolkits.mplot3d
import time:       171 |      57275 |                   matplotlib.projections
import time:       861 |        861 |                   matplotlib.colorbar
import time:      3809 |      62011 |                 matplotlib.figure
import time:      3779 |     135143 |               matplotlib.pyplot
import time:      1752 |     220556 |             interpax_fft._series
import time:       241 |     221924 |           interpax_fft
import time:        75 |         75 |               jax_finufft.jax_finufft_version
import time:       634 |        634 |                                 pydantic_core._pydantic_core
import time:     13471 |      13471 |                                 pydantic_core.core_schema
import time:       418 |      14522 |                               pydantic_core
import time:       107 |      14628 |                             pydantic.version
import time:       167 |      14795 |                           pydantic.warnings
import time:       161 |      14955 |                         pydantic._migration
import time:        95 |         95 |                             typing_inspection
import time:       880 |        880 |                             typing_inspection.typing_objects
import time:       609 |       1583 |                           typing_inspection.introspection
import time:       102 |        102 |                           pydantic._internal
import time:       502 |        502 |                               pydantic._internal._namespace_utils
import time:       560 |       1062 |                             pydantic._internal._typing_extra
import time:       197 |       1258 |                           pydantic._internal._repr
import time:       328 |       3268 |                         pydantic.errors
import time:       190 |      18413 |                       pydantic
import time:        40 |         40 |                           pydantic._internal._internal_dataclass
import time:       680 |        719 |                         pydantic.aliases
import time:       553 |        553 |                         pydantic.config
import time:       257 |       1529 |                       pydantic._internal._config
import time:       156 |        156 |                         pydantic._internal._core_utils
import time:        95 |         95 |                           pydantic._internal._import_utils
import time:       666 |        760 |                         pydantic._internal._utils
import time:      2276 |       3191 |                       pydantic._internal._decorators
import time:       350 |        350 |                           pydantic.plugin
