import time: self [us] | cumulative | imported package
import time:      2970 |       2970 |               textwrap
import time:      5793 |       8763 |             numpy._core._add_newdocs
import time:       735 |        735 |             numpy._core._add_newdocs_scalars
import time:       149 |        149 |             numpy._core._dtype_ctypes
import time:       682 |        682 |             numpy._core._internal
import time:       139 |        139 |             numpy._pytesttester
import time:      1237 |      54541 |           numpy._core
import time:        51 |      54591 |         numpy._core._multiarray_umath
import time:       307 |      54897 |       numpy.__config__
import time:       239 |        239 |                         numpy._typing._nbit_base
import time:       655 |        655 |                         numpy._typing._nested_sequence
import time:       167 |        167 |                         numpy._typing._shape
import time:      3047 |       4106 |                       numpy._typing._array_like
import time:      1842 |       1842 |                       numpy._typing._char_codes
import time:      3128 |       3128 |                       numpy._typing._dtype_like
import time:       181 |        181 |                       numpy._typing._nbit
import time:       132 |        132 |                       numpy._typing._scalars
import time:       157 |        157 |                       numpy._typing._ufunc
import time:       558 |      10101 |                     numpy._typing
import time:       153 |        153 |                       numpy.lib._stride_tricks_impl
import time:       255 |        407 |                     numpy.lib._twodim_base_impl
import time:        71 |         71 |                       numpy.lib._array_utils_impl
import time:       104 |        174 |                     numpy.lib.array_utils
import time:       254 |        254 |                     numpy.linalg._umath_linalg
import time:      1318 |      12253 |                   numpy.linalg._linalg
import time:       164 |      12416 |                 numpy.linalg
import time:       341 |      12757 |               numpy.matrixlib.defmatrix
import time:       169 |      12925 |             numpy.matrixlib
import time:       174 |        174 |               numpy.lib._histograms_impl
import time:       824 |        998 |             numpy.lib._function_base_impl
import time:       375 |      14297 |           numpy.lib._index_tricks_impl
import time:       348 |      14644 |         numpy.lib._arraypad_impl
import time:       513 |        513 |         numpy.lib._arraysetops_impl
import time:       106 |        106 |         numpy.lib._arrayterator_impl
import time:       245 |        245 |         numpy.lib._nanfunctions_impl
import time:        64 |         64 |                   _wmi
import time:      1037 |       1101 |                 platform
import time:       600 |       1700 |               numpy.lib._utils_impl
import time:       162 |       1862 |             numpy.lib._format_impl
import time:        82 |       1943 |           numpy.lib.format
import time:       249 |        249 |           numpy.lib._datasource
import time:       307 |        307 |           numpy.lib._iotools
import time:       501 |       2999 |         numpy.lib._npyio_impl
import time:       152 |        152 |             numpy.lib._ufunclike_impl
import time:       258 |        409 |           numpy.lib._type_check_impl
import time:      5849 |       6258 |         numpy.lib._polynomial_impl
import time:       526 |        526 |         numpy.lib._shape_base_impl
import time:       152 |        152 |         numpy.lib._version
import time:       117 |        117 |         numpy.lib.introspect
import time:       226 |        226 |         numpy.lib.mixins
import time:       109 |        109 |         numpy.lib.npyio
import time:       292 |        292 |           numpy.lib._scimath_impl
import time:       164 |        455 |         numpy.lib.scimath
import time:        96 |         96 |         numpy.lib.stride_tricks
import time:       803 |      27241 |       numpy.lib
import time:       163 |        163 |       numpy._array_api_info
import time:      1261 |      84325 |     numpy
import time:       427 |        427 |         scipy.__config__
import time:       102 |        102 |         scipy.version
import time:        37 |         37 |           scipy._distributor_init_local
import time:       187 |        223 |         scipy._distributor_init
import time:        69 |         69 |             cython
import time:       679 |        679 |             _sysconfigdata__linux_x86_64-linux-gnu
import time:       781 |       1528 |           scipy._lib._testutils
import time:       167 |       1695 |         scipy._lib
import time:      1765 |       1765 |         scipy._lib._pep440
import time:       403 |        403 |             scipy._cyutility
import time:       552 |        954 |           scipy._lib._ccallback_c
import time:       286 |       1240 |         scipy._lib._ccallback
import time:       566 |       6015 |       scipy
import time:       200 |        200 |       scipy.special._sf_error
import time:       691 |        691 |         scipy.special._ufuncs_cxx
import time:       320 |        320 |         scipy.special._ellip_harm_2
import time:       983 |        983 |         scipy.special._special_ufuncs
import time:       300 |        300 |         scipy.special._gufuncs
import time:     14306 |      16598 |       scipy.special._ufuncs
import time:       201 |        201 |           _heapq
import time:       271 |        471 |         heapq
import time:       104 |        104 |         scipy.special._input_validation
import time:       529 |        529 |         scipy.special._specfun
import time:       211 |        211 |         scipy.special._comb
import time:      6860 |       8173 |       scipy.special._basic
import time:       224 |        224 |           copy
import time:       733 |        957 |         dataclasses
import time:       459 |        459 |             numpy._typing._add_docstring
import time:       233 |        692 |           numpy.typing
import time:      1339 |       1339 |                 scipy._lib.array_api_compat.common._typing
import time:       613 |       1951 |               scipy._lib.array_api_compat.common._helpers
import time:       246 |       2196 |             scipy._lib.array_api_compat.common
import time:       166 |       2361 |           scipy._lib.array_api_compat
import time:       137 |        137 |             scipy._lib.array_api_compat._internal
import time:       198 |        198 |               numpy.core._utils
import time:       173 |        370 |             numpy.core
import time:       212 |        212 |                     _colorize
import time:      4117 |       4328 |                   traceback
import time:       234 |        234 |                   unittest.util
import time:       647 |       5209 |                 unittest.result
import time:       559 |        559 |                   difflib
import time:       257 |        257 |                   pprint
import time:       671 |       1486 |                 unittest.case
import time:       243 |        243 |                 unittest.suite
import time:       531 |        531 |                 unittest.loader
import time:       579 |        579 |                     gettext
import time:       986 |       1564 |                   argparse
import time:       112 |        112 |                     unittest.signals
import time:       239 |        351 |                   unittest.runner
import time:       218 |       2133 |                 unittest.main
import time:       205 |       9803 |               unittest
import time:       114 |        114 |               numpy.testing._private
import time:        75 |         75 |               numpy.testing.overrides
import time:       127 |        127 |               numpy.testing._private.extbuild
import time:        98 |         98 |                   concurrent
import time:        34 |         34 |                         _string
import time:       885 |        918 |                       string
import time:      1614 |       2531 |                     logging
import time:       443 |       2974 |                   concurrent.futures._base
import time:       198 |       3268 |                 concurrent.futures
import time:        46 |         46 |                 gc
import time:       179 |        179 |                         _json
import time:       288 |        467 |                       json.scanner
import time:       343 |        810 |                     json.decoder
import time:       289 |        289 |                     json.encoder
import time:       169 |       1266 |                   json
import time:       110 |        110 |                   email
import time:       189 |        189 |                     binascii
import time:       134 |        134 |                       zipfile._path.glob
import time:       329 |        462 |                     zipfile._path
import time:       792 |       1442 |                   zipfile
import time:       216 |        216 |                   importlib.metadata._meta
import time:       222 |        222 |                   importlib.metadata._collections
import time:        86 |         86 |                   importlib.metadata._functools
import time:        69 |         69 |                   importlib.metadata._itertools
import time:      2512 |       5921 |                 importlib.metadata
import time:      2047 |      11281 |               numpy.testing._private.utils
import time:       177 |      21574 |             numpy.testing
import time:       427 |        427 |                   numpy.random._common
import time:       233 |        233 |                     base64
import time:      1765 |       1765 |                       _hashlib
import time:       154 |        154 |                         _blake2
import time:       234 |        388 |                       hashlib
import time:      1057 |       3210 |                     hmac
import time:       138 |       3580 |                   secrets
import time:       437 |       4443 |                 numpy.random.bit_generator
import time:       290 |       4733 |               numpy.random._bounded_integers
import time:       244 |        244 |                   numpy.random._pcg64
import time:      1295 |       1539 |                 numpy.random._generator
import time:       199 |        199 |                 numpy.random._mt19937
import time:       215 |        215 |                 numpy.random._philox
import time:       179 |        179 |                 numpy.random._sfc64
import time:      1450 |       1450 |                 numpy.random.mtrand
import time:       170 |       3748 |               numpy.random._pickle
import time:       183 |       8663 |             numpy.random
import time:       144 |        144 |               numpy.f2py.diagnose
import time:        88 |         88 |                 numpy.f2py._backends
import time:        57 |         57 |                 numpy.f2py.__version__
import time:       149 |        149 |                   numpy.f2py.cfuncs
import time:       538 |        687 |                 numpy.f2py.auxfuncs
import time:      1277 |       1277 |                   numpy.f2py.cb_rules
import time:       100 |        100 |                   numpy.f2py._isocbind
import time:       208 |        208 |                     fileinput
import time:       305 |        305 |                           81d243bd2c585b0f4821__mypyc
import time:      1768 |       1768 |                           charset_normalizer.constant
import time:       406 |        406 |                             unicodedata
import time:       208 |        208 |                             _multibytecodec
import time:       402 |       1015 |                           charset_normalizer.utils
import time:       313 |        313 |                           charset_normalizer.models
import time:       430 |       3829 |                         charset_normalizer.cd
import time:       208 |        208 |                         _codecs_tw
import time:       186 |        186 |                         _codecs_hk
import time:       197 |        197 |                         _codecs_jp
import time:       153 |        153 |                         _codecs_kr
import time:       178 |        178 |                         _codecs_cn
import time:       152 |        152 |                         _codecs_iso2022
import time:     13557 |      18458 |                       charset_normalizer.api
import time:        96 |         96 |                       charset_normalizer.legacy
import time:        60 |         60 |                       charset_normalizer.version
import time:       174 |      18785 |                     charset_normalizer
import time:      1102 |       1102 |                     numpy.f2py.symbolic
